Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Bent Over Row (Barbell)",2,100.0,6.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Bent Over Row (Barbell)",3,100.0,6.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Lat Pulldown (Machine)",1,105.0,8.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Lat Pulldown (Machine)",2,125.0,6.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Lat Pulldown (Machine)",3,125.0,6.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Lat Pulldown (Machine)",4,125.0,6.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Bicep Curl (Dumbbell)",1,20.0,8.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Bicep Curl (Dumbbell)",2,20.0,8.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Bicep Curl (Dumbbell)",3,20.0,8.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Triceps Pushdown (Cable - Straight Bar)",1,44.0,8.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Triceps Pushdown (Cable - Straight Bar)",2,44.0,8.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Triceps Pushdown (Cable - Straight Bar)",3,44.0,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Squat (Barbell)",1,135.0,5.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Squat (Barbell)",2,145.0,5.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Squat (Barbell)",3,155.0,5.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Squat (Barbell)",4,165.0,5.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Romanian Deadlift (Barbell)",1,85.0,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Romanian Deadlift (Barbell)",2,85.0,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Romanian Deadlift (Barbell)",3,85.0,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Bench Press (Barbell)",1,170.0,5.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Bench Press (Barbell)",2,170.0,5.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Bench Press (Barbell)",3,170.0,5.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Chest Dip",1,7.5,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Chest Dip",2,7.5,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Chest Dip",3,7.5,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Bent Over Row (Barbell)",1,95.0,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Bent Over Row (Barbell)",2,95.0,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Bent Over Row (Barbell)",3,95.0,8.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Hammer Curl (Dumbbell)",1,20.0,10.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Hammer Curl (Dumbbell)",2,20.0,10.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Triceps Pushdown (Cable - Straight Bar)",1,30.0,15.0,0,0.0,
2023-06-26 20:41:45,"Full Body Workout",1h 44m,"Triceps Pushdown (Cable - Straight Bar)",2,30.0,15.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Bench Press (Barbell)",1,175.0,5.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Bench Press (Barbell)",2,175.0,5.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Bench Press (Barbell)",3,175.0,5.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Chest Dip",1,12.5,6.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Chest Dip",2,12.5,6.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Chest Dip",3,12.5,6.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Incline Chest Press (Machine)",1,35.0,6.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Incline Chest Press (Machine)",2,45.0,6.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Incline Chest Press (Machine)",3,45.0,6.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Incline Chest Press (Machine)",4,45.0,5.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Triceps Extension (Barbell)",1,40.0,8.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Triceps Extension (Barbell)",2,40.0,8.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Triceps Extension (Barbell)",3,40.0,8.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Triceps Pushdown (Cable - Straight Bar)",1,44.0,10.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Triceps Pushdown (Cable - Straight Bar)",2,44.0,10.0,0,0.0,
2023-07-02 20:44:58,"Heavy Push",52m,"Triceps Pushdown (Cable - Straight Bar)",3,44.0,10.0,0,0.0,
